Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
Colombia,South America,2018,49661056,77.23,39
Mexico,North America,2018,126190788,438.28,180
Venezuela,South America,2018,28870195,99.6,44
China,Asia,2018,1392730000,9463.35,3183
India,Asia,2018,1352617328,2247.62,906
Indonesia,Asia,2018,267663435,546.78,260
Japan,Asia,2018,126529100,1082.18,428
Malaysia,Asia,2018,31528585,237.38,89
South Korea,Asia,2018,25549819,674.46,301
Taiwan,Asia,2018,23726460,288.67,112
Thailand,Asia,2018,69428524,268.76,141
Australia,Oceania,2018,24982688,390.55,128
New Zealand,Oceania,2018,4900600,32.39,20
Algeria,Africa,2018,42228429,143.49,59
Egypt,Africa,2018,98423595,217.8,94
Nigeria,Africa,2018,195874740,88.35,165
South Africa,Africa,2018,57792520,442.08,133
Iran,Asia,2018,81800269,626.26,271
Kuwait,Asia,2018,4137312,91.88,34
Saudi Arabia,Asia,2018,33699947,529.77,205
United Arab Emirates,Asia,2018,9630959,199.2,68
Belgium,Europe,2019,11502704,97.99,55
Czech Republic,Europe,2019,10671870,99.71,43
France,Europe,2019,67055854,301.79,241
Germany,Europe,2019,83092962,672.99,296
Italy,Europe,2019,60302093,317.61,149
Netherlands,Europe,2019,17344874,170.45,71
Poland,Europe,2019,37965475,302.08,103
Portugal,Europe,2019,10286263,47.62,22
Romania,Europe,2019,19366221,74.78,34
Spain,Europe,2019,47133521,239.62,125
Sweden,Europe,2019,10278887,39.32,47
United Kingdom,Europe,2019,66836327,345.64,171
Norway,Europe,2019,5347896,40.02,27
Turkey,Asia,2019,83429615,376.83,147
Kazakhstan,Asia,2019,18513673,265.8,89
Russia,Asia,2019,144406261,1754.47,779
Ukraine,Europe,2019,44386203,176.61,89
Uzbekistan,Asia,2019,33580350,89.44,37
Canada,North America,2019,37593384,569.33,295
United States,North America,2019,328239523,4920.32,2213
Argentina,South America,2019,44938712,170.74,82
Brazil,South America,2019,211049527,410.04,288
Chile,South America,2019,18952038,86.43,39
Colombia,South America,2019,50339443,83.3,40
Mexico,North America,2019,127575529,433.31,178
Venezuela,South America,2019,28515829,86.56,39
China,Asia,2019,1397715000,9729.01,3284
India,Asia,2019,1366417754,2222.27,913
Indonesia,Asia,2019,270625568,580.96,269
Japan,Asia,2019,126264931,1045.02,421
Malaysia,Asia,2019,31949777,243.59,93
South Korea,Asia,2019,25666161,649.94,298
Taiwan,Asia,2019,23773876,280.31,110
Thailand,Asia,2019,69625582,271.38,142
Australia,Oceania,2019,25365745,395.44,136
New Zealand,Oceania,2019,4979300,32.77,20
Algeria,Africa,2019,43053054,146.7,62
Egypt,Africa,2019,100388073,214.82,95
Nigeria,Africa,2019,200963599,86.93,168
South Africa,Africa,2019,58558267,446.66,135
Iran,Asia,2019,82913906,637.76,258
Kuwait,Asia,2019,4207083,94.42,36
Saudi Arabia,Asia,2019,34268528,534.33,207
United Arab Emirates,Asia,2019,9770529,199.27,69
